City Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Windspeed (mph),Country,Date
avera,33.194,-82.5271,82.4,30,1,4.61,US,1618355452
kampene,-3.6,26.6667,68.04,99,100,1.32,CD,1618355453
caceres,39.522,-6.3748,52.97,84,98,6.38,ES,1618355453
san cristobal,7.7669,-72.225,87.8,62,40,5.75,VE,1618355454
bathsheba,13.2167,-59.5167,80.6,69,40,12.66,BB,1618355454
melfort,52.8667,-104.6177,30.2,59,100,13.8,CA,1618355455
borgustanskaya,44.0547,42.5288,44.6,93,90,4.47,RU,1618355456
nemuro,43.3236,145.575,39.96,97,100,13.98,JP,1618355250
robertsport,6.7533,-11.3686,80.26,81,90,5.73,LR,1618355457
esperance,-33.8667,121.9,53.6,94,90,8.05,AU,1618355458
pilar,-9.5972,-35.9567,77.0,88,0,3.44,BR,1618355459
nara,34.6851,135.8049,62.01,94,75,5.75,JP,1618355460
camabatela,-8.1881,15.375,62.02,95,71,2.77,AO,1618355461
derbent,42.0678,48.2899,51.22,66,40,5.14,RU,1618355461
awjilah,29.1081,21.2869,69.85,19,50,12.19,LY,1618355330
svetlaya,46.5389,138.3297,31.26,37,13,13.56,RU,1618355462
dunedin,-45.8742,170.5036,54.0,88,100,5.99,NZ,1618355462
yinchuan,38.4681,106.2731,43.0,40,14,7.09,CN,1618355463
jacareacanga,-6.2222,-57.7528,80.46,76,94,2.75,BR,1618355406
kargasok,59.0556,80.8572,35.49,98,100,8.21,RU,1618355464
cuamba,-14.8031,36.5372,65.12,96,63,4.9,MZ,1618355465
vrangel,42.7297,133.0839,35.65,40,10,8.72,RU,1618355465
kinshasa,-4.3246,15.3215,77.0,94,40,5.75,CD,1618355466
zhigansk,66.7697,123.3711,16.54,91,100,20.02,RU,1618355466
severo-kurilsk,50.6789,156.125,39.31,92,100,23.49,RU,1618355262
vardo,70.3705,31.1107,32.09,60,100,4.34,NO,1618355468
tongzi,28.7829,105.0877,62.02,87,100,3.38,CN,1618355468
bakel,14.905,-12.4568,93.61,14,0,3.33,SN,1618355469
tulum,20.2167,-87.4667,84.0,74,40,9.22,MX,1618355470
niono,14.2526,-5.993,93.45,10,0,7.0,ML,1618355470
saint-georges,12.0564,-61.7485,82.4,83,20,21.85,GD,1618355471
vieira de leiria,39.8695,-8.9324,60.8,94,75,2.3,PT,1618355471
marsh harbour,26.5412,-77.0636,75.81,72,0,16.02,BS,1618355472
boras,57.721,12.9401,32.0,74,0,4.61,SE,1618355473
raahe,64.6833,24.4833,33.8,86,90,5.75,FI,1618355473
lompoc,34.6391,-120.4579,57.99,62,30,12.66,US,1618355474
marzuq,14.4,46.4667,67.71,66,0,5.41,YE,1618355231
kaeo,-35.1,173.7833,66.99,86,4,10.0,NZ,1618355475
kununurra,-15.7667,128.7333,69.8,94,57,3.44,AU,1618355475
dingle,10.9995,122.6711,79.18,78,100,4.88,PH,1618355476
pali,25.7667,73.3333,77.83,22,7,4.97,IN,1618355476
leningradskiy,69.3833,178.4167,6.51,79,100,9.66,RU,1618355477
burgos,42.3394,-3.7079,46.4,87,90,2.3,ES,1618355477
eureka,40.8021,-124.1637,61.0,52,1,7.0,US,1618355409
san martin,-33.081,-68.4681,71.6,49,0,5.97,AR,1618355478
shishou,29.7226,112.419,55.51,92,100,14.45,CN,1618355479
causwagan,8.4475,125.8403,76.51,90,93,1.61,PH,1618355480
poltavka,54.3663,71.7632,30.85,97,34,7.87,RU,1618355480
semporna,4.4818,118.6112,73.4,100,20,2.3,MY,1618355231
poplar bluff,36.757,-90.3929,64.99,45,90,8.05,US,1618355481
aksu,41.1231,80.2644,52.29,33,63,4.34,CN,1618355481
toora-khem,52.4675,96.11,22.42,88,82,6.06,RU,1618355482
kanigiri,15.4,79.5167,78.49,85,2,3.56,IN,1618355483
santa barbara,34.7333,-120.0343,66.99,48,1,12.66,US,1618355484
sioux lookout,50.1001,-91.917,37.4,93,90,6.91,CA,1618355485
surgut,61.25,73.4167,41.0,60,0,6.71,RU,1618355485
bud,39.447,-86.1758,63.0,33,1,8.05,US,1618355486
takayama,36.1333,137.25,52.0,100,75,5.75,JP,1618355486
nikolayevka,53.1257,47.2041,46.11,68,4,4.23,RU,1618355487
vao,-22.6667,167.4833,75.38,84,88,22.95,NC,1618355488
russell,32.3502,-85.1999,84.2,57,1,3.58,US,1618355489
tiznit,29.5833,-9.5,59.81,74,95,5.61,MA,1618355489
fort nelson,58.8053,-122.7002,50.0,29,75,2.3,CA,1618355490
bolu,40.6667,31.5833,42.17,70,94,4.5,TR,1618355491
tupik,54.4253,119.9327,11.26,81,70,0.29,RU,1618355492
santiago,-33.4569,-70.6483,82.4,26,0,4.61,CL,1618355465
veliki preslav,43.1667,26.8167,49.48,95,100,4.25,BG,1618355493
wanning,18.8003,110.3967,75.11,84,77,2.89,CN,1618355372
suclayin,15.7568,121.5503,77.2,91,100,1.5,PH,1618355494
doka,13.5167,35.7667,83.25,15,69,8.23,SD,1618355494
olafsvik,64.8945,-23.7142,40.6,91,18,11.65,IS,1618355495
san pedro,14.35,121.0167,82.4,78,75,1.14,PH,1618355495
poum,-20.2333,164.0167,78.87,82,93,17.98,NC,1618355260
ostrovnoy,68.0531,39.5131,34.79,97,100,16.02,RU,1618355496
lovozero,68.005,35.0117,28.63,98,100,4.68,RU,1618355497
vitim,59.4511,112.5578,20.75,97,87,4.65,RU,1618355498
anloga,5.7947,0.8973,84.2,84,40,6.91,GH,1618355498
ouadda,8.0777,22.4007,65.71,86,70,2.21,CF,1618355499
saldanha,-33.0117,17.9442,62.6,67,58,3.44,ZA,1618355280
ozernovskiy,51.5,156.5167,38.25,87,100,24.61,RU,1618355500
roald,62.5833,6.1333,35.6,87,75,16.11,NO,1618355501
mount gambier,-37.8333,140.7667,57.2,82,90,13.8,AU,1618355299
magadan,59.5667,150.8,15.62,68,100,16.42,RU,1618355502
turukhansk,65.8167,87.9833,22.71,96,100,12.15,RU,1618355502
rio grande,-32.035,-52.0986,66.0,76,0,8.39,BR,1618355503
talnakh,69.4865,88.3972,18.93,96,100,6.78,RU,1618355503
banganapalle,15.3167,78.2333,80.47,64,2,5.73,IN,1618355229
muros,42.7762,-9.0603,53.01,92,100,4.81,ES,1618355504
jiwani,25.05,61.7417,79.9,63,40,6.42,PK,1618355505
coahuayana,18.7333,-103.6833,84.2,54,20,12.66,MX,1618355505
blackwater,-23.5833,148.8833,71.82,49,0,9.8,AU,1618355506
oistins,13.0667,-59.5333,80.6,69,40,12.66,BB,1618355506
ayagoz,47.9714,80.4392,33.58,71,2,17.25,KZ,1618355507
holland,42.7875,-86.1089,52.0,61,90,12.66,US,1618355507
yining,29.0361,114.5636,60.73,96,100,3.44,CN,1618355508
airai,-8.9266,125.4092,62.64,75,59,2.01,TL,1618355508
dickinson,29.4608,-95.0513,82.4,69,75,12.66,US,1618355509
iqaluit,63.7506,-68.5145,21.2,79,75,23.02,CA,1618355510
reykjavik,64.1355,-21.8954,44.6,70,75,6.91,IS,1618355341
abancay,-13.6339,-72.8814,59.76,85,83,4.43,PE,1618355511
strizhi,58.4576,49.2867,38.1,98,96,5.75,RU,1618355512
bretigny-sur-orge,48.6114,2.3059,41.0,56,0,6.91,FR,1618355512
prince george,53.9166,-122.753,57.0,23,84,1.01,CA,1618355513
cheyenne,41.14,-104.8203,36.0,44,75,5.75,US,1618355394
saint-leu,-21.15,55.2833,80.6,74,0,10.36,RE,1618355514
popondetta,-8.7537,148.2534,83.1,61,20,1.88,PG,1618355515
sobolevo,54.4299,31.8996,49.75,93,97,4.61,RU,1618355515
port hawkesbury,45.6169,-61.3485,43.0,65,75,6.91,CA,1618355224
catamarca,-28.4696,-65.7852,60.01,82,8,1.01,AR,1618355517
mildura,-34.2,142.15,66.2,55,90,10.36,AU,1618355447
zhuhai,22.2769,113.5678,78.01,94,40,8.05,CN,1618355519
ostrogozhsk,50.8664,39.0756,52.54,85,93,2.06,RU,1618355519
shimoda,34.6667,138.95,64.0,100,75,3.44,JP,1618355520
hamilton,39.1834,-84.5333,64.99,42,40,5.75,US,1618355389
ilulissat,69.2167,-51.1,24.8,93,90,12.66,GL,1618355299
dosso,13.049,3.1937,87.44,6,3,8.39,NE,1618355521
ayan,56.45,138.1667,16.88,92,100,23.44,RU,1618355521
ust-ordynskiy,52.805,104.7508,30.2,86,40,8.95,RU,1618355522
naryan-mar,67.6713,53.087,28.44,97,100,8.3,RU,1618355522
corbelia,-24.7989,-53.3067,78.01,34,69,5.64,BR,1618355523
provideniya,64.3833,-173.3,19.4,79,90,15.66,RU,1618355523
suarez,2.954,-76.6964,72.14,90,94,4.45,CO,1618355524
vila franca do campo,37.7167,-25.4333,60.8,94,75,16.11,PT,1618355525
beira,-19.8436,34.8389,78.8,78,0,7.25,MZ,1618355507
quatre cocos,-20.2078,57.7625,79.0,88,75,9.22,MU,1618355526
saint-augustin,51.226,-58.6502,38.35,69,53,13.0,CA,1618355239
cartagena del chaira,1.3349,-74.8429,76.44,86,88,2.13,CO,1618355527
beruwala,6.4788,79.9828,77.41,86,100,4.0,LK,1618355527
mankera,31.3866,71.4407,80.37,30,97,9.33,PK,1618355528
karratha,-20.7377,116.8463,79.72,75,76,13.2,AU,1618355529
fukue,32.6881,128.8419,53.28,58,100,26.64,JP,1618355529
half moon bay,37.4636,-122.4286,61.0,76,75,12.66,US,1618355530
jaynagar-majilpur,22.1758,88.4178,82.4,83,40,6.91,IN,1618355531
aberdeen,57.1437,-2.0981,33.01,86,89,2.3,GB,1618355531
sibolga,1.7427,98.7792,75.43,84,98,2.98,ID,1618355356
tautira,-17.7333,-149.15,86.0,70,75,16.11,PF,1618355533
comodoro rivadavia,-45.8667,-67.5,77.0,44,20,5.75,AR,1618355533
evensk,61.95,159.2333,8.44,69,6,4.05,RU,1618355312
auki,-8.7676,160.7034,81.28,75,99,1.48,SB,1618355319
jalu,29.0331,21.5482,69.12,20,59,12.08,LY,1618355534
naze,28.3667,129.4833,68.0,73,40,6.91,JP,1618355535
laguna,38.421,-121.4238,75.99,28,1,12.66,US,1618355535
cairns,-16.9167,145.7667,82.99,73,11,9.22,AU,1618355536
arawa,-6.2132,155.5367,76.93,94,100,3.87,PG,1618355536
aykhal,66.0,111.5,11.17,98,43,6.51,RU,1618355537
jaru,-10.4389,-62.4664,74.8,94,49,2.75,BR,1618355537
esmeralda,21.8525,-78.1169,78.8,69,40,18.41,CU,1618355291
ossora,59.2353,163.0719,11.57,69,20,2.48,RU,1618355538
nago,26.5881,127.9761,69.8,83,75,6.91,JP,1618355539
newcastle,-32.9272,151.7765,64.99,67,0,10.36,AU,1618355465
scarborough,54.2797,-0.4044,36.0,87,82,2.39,GB,1618355540
shamary,57.3434,58.2199,43.0,98,100,5.99,RU,1618355540
zeya,53.75,127.2667,20.26,60,39,3.29,RU,1618355541
ahuimanu,21.4447,-157.8378,82.4,53,20,12.66,US,1618355542
dudinka,69.4058,86.1778,18.52,95,100,9.17,RU,1618355543
oyem,1.5995,11.5793,69.39,95,80,1.23,GA,1618355543
suoyarvi,62.0833,32.35,38.95,93,100,5.91,RU,1618355544
olinda,-8.0089,-34.8553,80.6,74,75,6.91,BR,1618355545
lumphat,13.4878,106.9816,74.43,90,67,0.94,KH,1618355546
hualmay,-11.0964,-77.6139,69.48,82,92,10.09,PE,1618355547
konevo,62.1215,39.3192,44.29,98,100,4.45,RU,1618355547
yarovoye,52.9273,78.58,34.32,86,62,6.35,RU,1618355548
mae sai,20.4335,99.8762,69.8,100,0,2.3,TH,1618355548
southport,53.6478,-3.0065,42.01,86,18,4.34,GB,1618355549
colac,-38.3333,143.5833,57.0,96,36,15.28,AU,1618355550
roebourne,-20.7833,117.1333,80.19,72,69,13.31,AU,1618355551
agirish,61.9247,63.0231,45.25,90,100,13.42,RU,1618355552
dossor,47.5272,52.9811,56.1,36,0,13.53,KZ,1618355552
kutum,14.2,24.6667,66.94,11,5,7.9,SD,1618355553
barguzin,53.6167,109.6167,26.35,80,34,7.4,RU,1618355554
wajima,37.4,136.9,47.21,77,100,12.24,JP,1618355554
hami,42.8,93.45,48.92,23,5,3.06,CN,1618355555
tadine,-21.55,167.8833,79.36,79,32,9.44,NC,1618355556
waipawa,-41.4122,175.5153,63.0,72,75,4.61,NZ,1618355378
boa vista,2.8197,-60.6733,82.4,78,20,4.61,BR,1618355557
umm kaddadah,13.6017,26.6876,71.02,8,2,12.53,SD,1618355557
mattawa,46.7379,-119.9028,62.6,19,1,23.02,US,1618355558
ahipara,-35.1667,173.1667,63.21,78,22,17.67,NZ,1618355558
alappuzha,9.49,76.3264,78.03,85,89,3.6,IN,1618355270
haines junction,60.7522,-137.5108,41.0,48,82,9.22,CA,1618355559
maragogi,-9.0122,-35.2225,78.15,86,100,6.53,BR,1618355282
teya,60.3778,92.6267,26.13,92,100,6.42,RU,1618355560
chifeng,42.2683,118.9636,38.57,25,0,4.38,CN,1618355561
san juan de los morros,9.9115,-67.3538,83.05,62,90,2.21,VE,1618355562
saint-raphael,19.4333,-72.2,74.43,77,51,7.31,HT,1618355563
cocorit,27.5833,-109.9667,78.8,36,40,10.36,MX,1618355565
srednekolymsk,67.45,153.6833,6.46,77,47,3.38,RU,1618355364
kaya,13.0917,-1.0844,91.49,14,37,5.44,BF,1618355565
kyra,49.5776,111.9753,32.09,60,100,5.55,RU,1618355566
komsomolskiy,40.4272,71.7189,53.6,76,77,2.3,UZ,1618355566
cayenne,4.9333,-52.3333,81.0,83,20,3.44,GF,1618355529
bonavista,48.6499,-53.1147,36.0,93,11,6.91,CA,1618355279
ankpa,7.3706,7.6253,75.49,81,100,9.46,NG,1618355568
balkanabat,39.5108,54.3671,69.87,14,6,18.07,TM,1618355568
san antonio,29.4241,-98.4936,84.2,54,75,6.91,US,1618354997
wasilla,61.5814,-149.4394,43.0,70,75,6.91,US,1618355344
gbarnga,6.9956,-9.4722,74.28,94,100,3.33,LR,1618355569
rudbar,30.15,62.6,73.98,29,95,1.59,AF,1618355570
pulaski,34.7668,-92.3001,73.0,49,20,9.22,US,1618355571
alta floresta,-9.8756,-56.0861,72.05,95,80,3.4,BR,1618355571
uige,-7.6087,15.0613,67.23,94,90,2.21,AO,1618355572
monroe,43.1501,-77.6831,54.0,87,75,4.61,US,1618355573
goulburn,-34.75,149.7167,61.0,50,98,1.01,AU,1618355573
virginia beach,36.8529,-75.978,55.0,66,1,9.22,US,1618355528
ilhabela,-23.7781,-45.3581,72.28,77,45,4.74,BR,1618355304
jijiga,9.35,42.8,65.77,63,15,2.53,ET,1618355574
tuatapere,-46.1333,167.6833,53.01,93,100,5.99,NZ,1618355575
resistencia,-27.4606,-58.9839,72.0,73,0,5.75,AR,1618355576
karla,59.3723,24.9275,37.4,75,0,4.61,EE,1618355576
inta,66.0317,60.1659,31.41,97,100,5.12,RU,1618355577
qaqortoq,60.7167,-46.0333,37.4,65,3,5.75,GL,1618355578
herbertpur,30.45,77.7333,72.07,22,47,8.28,IN,1618355579
ouro branco,-20.5208,-43.6919,59.34,98,72,3.85,BR,1618355351
orsha,54.5153,30.4053,48.58,96,100,4.59,BY,1618355580
mercedes,-34.6515,-59.4307,66.99,91,0,4.97,AR,1618355580
hovd,48.0056,91.6419,31.6,57,92,8.19,MN,1618355328
kenai,60.5544,-151.2583,44.6,70,90,5.75,US,1618355582
marawi,7.9986,124.2928,77.0,89,98,1.99,PH,1618355582
itarema,-2.9248,-39.9167,80.22,79,84,10.69,BR,1618355583
shumyachi,53.8583,32.4242,50.2,94,94,4.03,RU,1618355583
maceio,-9.6658,-35.7353,77.0,88,0,3.44,BR,1618355376
tolentino,43.2126,13.2901,46.0,89,93,4.68,IT,1618355584
prince rupert,54.3161,-130.3201,48.2,61,1,6.91,CA,1618355584
huambo,-12.7761,15.7392,62.42,68,76,2.37,AO,1618355585
north bend,43.4065,-124.2243,66.99,47,1,29.93,US,1618355586
marsa matruh,31.3525,27.2453,55.4,82,0,5.75,EG,1618355586
atar,20.5169,-13.0499,80.74,14,99,10.22,MR,1618355587
dejen,10.1667,38.1333,59.77,64,80,1.57,ET,1618355588
jay,44.5039,-70.2162,60.8,39,1,5.75,US,1618355588
mbaiki,3.8678,17.9892,68.27,92,45,1.79,CF,1618355589
thenzawl,23.3167,92.75,61.59,59,1,3.0,IN,1618355590
ravar,31.2656,56.8055,67.1,44,100,6.87,IR,1618355344
beyneu,45.3167,55.2,56.7,35,0,8.84,KZ,1618355591
asfi,32.2994,-9.2372,63.5,91,100,10.42,MA,1618355592
innisfail,-17.5333,146.0333,73.0,76,29,3.0,AU,1618355593
champerico,14.3,-91.9167,91.4,58,75,9.22,GT,1618355594
iranshahr,27.2025,60.6848,77.77,25,85,6.67,IR,1618355594
salta,-24.7859,-65.4117,64.4,72,90,9.22,AR,1618355595
oksovskiy,62.6062,39.8984,42.08,98,100,4.16,RU,1618355596
merauke,-8.4667,140.3333,78.85,80,96,11.41,ID,1618355596
tambo,-14.8,-73.9167,40.32,87,99,6.73,PE,1618355597
kanelovskaya,46.5908,39.19,48.56,94,92,5.39,RU,1618355597
straseni,47.1414,28.6103,46.4,81,0,8.05,MD,1618355598
mayya,61.7333,130.2811,3.2,78,0,2.24,RU,1618355599
maniitsoq,65.4167,-52.9,30.45,97,100,6.73,GL,1618355600
kapuskasing,49.4169,-82.4331,50.0,93,100,3.44,CA,1618355601
traunreut,47.9627,12.5923,32.0,90,100,4.25,DE,1618355601
shahr-e kord,32.3256,50.8644,41.0,65,41,2.3,IR,1618355602
christchurch,-43.5333,172.6333,63.0,63,71,9.22,NZ,1618355488
limbang,4.75,115.0,77.0,100,75,2.3,MY,1618355328
osakarovka,50.565,72.5692,32.49,77,2,7.74,KZ,1618355603
yuryevets,57.3201,43.1041,41.2,84,72,8.75,RU,1618355604
nuqui,5.7125,-77.2708,81.01,83,93,5.19,CO,1618355605
khor,47.8861,134.9464,29.77,41,58,19.06,RU,1618355606
williams lake,52.1415,-122.1445,51.8,20,20,4.61,CA,1618355606
yarmouth,41.7057,-70.2286,50.0,76,1,6.91,US,1618355607
tazmalt,36.3868,4.3989,54.93,77,85,3.02,DZ,1618355608
xapuri,-10.6517,-68.5044,76.98,79,83,2.95,BR,1618355608
egvekinot,66.3167,-179.1667,9.07,80,100,11.81,RU,1618355609
nuuk,64.1835,-51.7216,30.2,100,90,5.75,GL,1618355609
fortuna,40.5982,-124.1573,63.0,58,20,17.27,US,1618355610
yellapur,14.9667,74.7167,74.7,84,99,2.51,IN,1618355610
ambon,-3.6954,128.1814,75.2,94,40,4.61,ID,1618355611
cockburn town,21.4612,-71.1419,78.8,69,40,13.8,TC,1618355331
kasempa,-13.4584,25.8338,62.76,82,91,7.11,ZM,1618355612
hauterive,46.0901,3.4459,33.8,75,0,3.31,FR,1618355612
cumberland,35.0502,-78.8664,75.2,35,40,3.44,US,1618355613
tessalit,20.1986,1.0114,89.15,9,69,8.86,ML,1618355614
namtsy,62.7161,129.6658,3.2,78,0,2.24,RU,1618355614
newport,51.5877,-2.9984,46.0,87,87,2.51,GB,1618355615
san sebastian,43.3128,-1.975,50.0,62,0,1.14,ES,1618355615
alice springs,-23.7,133.8833,69.8,43,61,4.61,AU,1618355616
pacific grove,36.6177,-121.9166,57.0,70,37,8.01,US,1618355617
kerman,30.2832,57.0788,57.2,44,40,4.61,IR,1618355618
tukrah,32.5341,20.5791,68.16,37,100,4.16,LY,1618355619
oksfjord,70.2396,22.3479,30.2,58,20,5.75,NO,1618355620
kabul,34.5,69.4167,55.4,50,40,3.44,AF,1618355556
altay,47.8667,88.1167,34.7,57,0,5.17,CN,1618355357
darnah,32.767,22.6367,65.66,51,100,11.18,LY,1618355621
aripuana,-9.1667,-60.6333,75.34,91,69,0.6,BR,1618355621
albert,50.0009,2.651,39.99,75,0,4.61,FR,1618355622
kalmunai,7.4167,81.8167,77.99,84,97,5.35,LK,1618355622
mundra,22.85,69.7333,78.12,48,0,8.55,IN,1618355623
havoysund,70.9963,24.6622,30.2,74,75,10.36,NO,1618355624
